routes_id,lat,lng,routes_status_code,uber_pool_distance,uber_pool_duration,uber_pool_high_estimate,uber_pool_low_estimate,uber_x_distance,uber_x_duration,uber_x_high_estimate,uber_x_low_estimate,uber_pool_surge,uber_x_surge,radius
0,42.38062996424832,-71.11897355408145,200,0.71,300.0,9.0,6.0,0.71,300.0,9.0,6.0,,,0.5
1,42.38009435009527,-71.11690158995577,200,0.89,300.0,9.0,6.0,0.89,300.0,9.0,6.0,,,0.5
2,42.37923155271303,-71.11504290455599,200,0.77,300.0,9.0,6.0,0.77,300.0,9.0,6.0,,,0.5
3,42.378084836365105,-71.11349070012922,200,0.74,300.0,8.0,5.0,0.74,300.0,9.0,6.0,,,0.5
4,42.376711702197404,-71.1123228106869,200,0.69,240.0,8.0,5.0,0.69,240.0,9.0,6.0,,,0.5
5,42.375181004890855,-71.11159779908233,200,0.64,240.0,8.0,5.0,0.64,240.0,9.0,6.0,,,0.5
6,42.3735695,-71.11135202042475,200,0.69,240.0,8.0,5.0,0.69,240.0,9.0,6.0,,,0.5
7,42.371957995109156,-71.11159779908233,200,0.9,300.0,8.0,5.0,0.9,300.0,9.0,6.0,,,0.5
8,42.3704272978026,-71.1123228106869,200,0.73,300.0,8.0,5.0,0.73,300.0,9.0,6.0,,,0.5
9,42.36905416363491,-71.11349070012922,200,0.75,300.0,8.0,5.0,0.75,300.0,9.0,6.0,,,0.5
10,42.367907447286974,-71.11504290455599,200,1.13,300.0,8.0,5.0,1.13,300.0,9.0,6.0,,,0.5
11,42.367044649904734,-71.11690158995577,200,1.1,300.0,8.0,5.0,1.1,300.0,9.0,6.0,,,0.5
12,42.36650903575168,-71.11897355408145,200,2.07,300.0,9.0,6.0,2.07,300.0,9.0,6.0,,,0.5
13,42.36632746275797,-71.12115490000002,200,1.06,300.0,8.0,5.0,1.06,300.0,8.0,5.0,,,0.5
14,42.36650903575168,-71.12333624591855,200,0.96,300.0,8.0,5.0,0.96,300.0,8.0,5.0,,,0.5
15,42.367044649904734,-71.1254082100442,200,1.54,480.0,9.0,5.0,1.54,480.0,8.0,6.0,,,0.5
16,42.367907447286974,-71.12726689544401,200,1.25,360.0,8.0,5.0,1.25,360.0,8.0,5.0,,,0.5
17,42.36905416363491,-71.12881909987077,200,1.32,360.0,8.0,5.0,1.32,360.0,8.0,5.0,,,0.5
18,42.3704272978026,-71.12998698931308,200,1.6,300.0,9.0,5.0,1.6,300.0,8.0,6.0,,,0.5
19,42.371957995109156,-71.13071200091765,200,1.21,300.0,8.0,5.0,1.21,300.0,8.0,5.0,,,0.5
20,42.3735695,-71.13095777957524,200,0.5,60.0,9.0,6.0,0.5,60.0,9.0,7.0,,,0.5
21,42.375181004890855,-71.13071200091765,200,0.75,240.0,9.0,6.0,0.75,240.0,9.0,6.0,,,0.5
22,42.376711702197404,-71.12998698931308,200,0.6,180.0,9.0,6.0,0.6,180.0,9.0,6.0,,,0.5
23,42.378084836365105,-71.12881909987077,200,0.61,180.0,9.0,6.0,0.61,180.0,9.0,6.0,,,0.5
24,42.37923155271303,-71.12726689544401,200,0.74,180.0,9.0,6.0,0.74,180.0,9.0,6.0,,,0.5
25,42.38009435009527,-71.1254082100442,200,0.6,240.0,9.0,6.0,0.6,240.0,9.0,6.0,,,0.5
26,42.38062996424832,-71.12333624591855,200,0.74,240.0,9.0,6.0,0.74,240.0,9.0,6.0,,,0.5
27,42.38081153724204,-71.12115490000002,200,0.76,300.0,9.0,6.0,0.76,300.0,9.0,6.0,,,0.75
28,42.3843112245044,-71.11896333491957,200,1.24,360.0,9.0,6.0,1.24,360.0,9.0,6.0,,,0.75
29,42.38394994077047,-71.1168207257816,200,1.01,300.0,9.0,6.0,1.01,300.0,9.0,6.0,,,0.75
30,42.3833567751429,-71.11477493493365,200,1.11,300.0,9.0,6.0,1.11,300.0,9.0,6.0,,,0.75
31,42.382544977961615,-71.1128716619627,200,1.14,360.0,9.0,6.0,1.14,360.0,9.0,6.0,,,0.75
32,42.38153268343421,-71.11115342284191,200,1.06,360.0,8.0,5.0,1.06,360.0,9.0,6.0,,,0.75
33,42.38034250454764,-71.10965860019384,200,1.04,360.0,8.0,5.0,1.04,360.0,9.0,6.0,,,0.75
34,42.37900102793153,-71.10842058588639,200,0.97,360.0,8.0,5.0,0.97,360.0,9.0,6.0,,,0.75
35,42.377538219956755,-71.10746703511342,200,0.95,300.0,8.0,5.0,0.95,300.0,9.0,6.0,,,0.75
36,42.37598675733627,-71.10681924862351,200,0.99,300.0,8.0,5.0,0.99,300.0,9.0,6.0,,,0.75
37,42.37438129718128,-71.10649169689637,200,0.91,300.0,8.0,5.0,0.91,300.0,9.0,6.0,,,0.75
38,42.37275770281872,-71.10649169689637,200,1.06,300.0,8.0,5.0,1.06,300.0,9.0,6.0,,,0.75
39,42.371152242663726,-71.10681924862351,200,0.99,300.0,8.0,5.0,0.99,300.0,9.0,6.0,,,0.75
40,42.36960078004324,-71.10746703511342,200,1.05,360.0,8.0,5.0,1.05,360.0,9.0,6.0,,,0.75
41,42.368137972068475,-71.10842058588639,200,0.96,360.0,8.0,5.0,0.96,360.0,9.0,6.0,,,0.75
42,42.36679649545236,-71.10965860019384,200,1.02,360.0,8.0,5.0,1.02,360.0,9.0,6.0,,,0.75
43,42.365606316565795,-71.11115342284191,200,1.15,360.0,8.0,5.0,1.15,360.0,9.0,6.0,,,0.75
44,42.36459402203838,-71.1128716619627,200,1.15,360.0,8.0,5.0,1.15,360.0,9.0,6.0,,,0.75
45,42.363782224857104,-71.11477493493365,200,1.49,360.0,8.0,5.0,1.49,360.0,9.0,7.0,,,0.75
46,42.36318905922953,-71.1168207257816,200,1.38,360.0,8.0,5.0,1.38,360.0,8.0,5.0,,,0.75
47,42.36282777549561,-71.11896333491957,200,1.63,420.0,9.0,6.0,1.63,420.0,8.0,6.0,,,0.75
48,42.36270644413696,-71.12115490000002,200,1.8,420.0,9.0,6.0,1.8,420.0,9.0,6.0,,,0.75
49,42.36282777549561,-71.12334646508042,200,1.73,420.0,9.0,6.0,1.73,420.0,9.0,6.0,,,0.75
50,42.36318905922953,-71.12548907421841,200,1.79,420.0,9.0,6.0,1.79,420.0,9.0,6.0,,,0.75
51,42.363782224857104,-71.12753486506635,200,1.89,420.0,9.0,6.0,1.89,420.0,9.0,6.0,,,0.75
52,42.36459402203838,-71.12943813803726,200,1.23,420.0,9.0,5.0,1.23,420.0,8.0,6.0,,,0.75
53,42.365606316565795,-71.13115637715809,200,2.07,420.0,10.0,6.0,2.07,420.0,9.0,7.0,,,0.75
54,42.36679649545236,-71.13265119980616,200,1.62,300.0,9.0,5.0,1.62,300.0,8.0,6.0,,,0.75
55,42.368137972068475,-71.1338892141136,200,1.27,300.0,8.0,5.0,1.27,300.0,8.0,5.0,,,0.75
56,42.36960078004324,-71.13484276488656,200,1.09,300.0,8.0,5.0,1.09,300.0,8.0,5.0,,,0.75
57,42.371152242663726,-71.13549055137649,200,0.98,300.0,8.0,5.0,0.98,300.0,8.0,5.0,,,0.75
58,42.37275770281872,-71.13581810310359,200,0.93,300.0,8.0,5.0,0.93,300.0,8.0,5.0,,,0.75
59,42.37438129718128,-71.13581810310359,200,0.84,240.0,9.0,6.0,0.84,240.0,9.0,6.0,,,0.75
60,42.37598675733627,-71.13549055137649,200,0.94,240.0,9.0,6.0,0.94,240.0,9.0,6.0,,,0.75
61,42.377538219956755,-71.13484276488656,200,0.81,240.0,9.0,6.0,0.81,240.0,9.0,6.0,,,0.75
62,42.37900102793153,-71.1338892141136,200,0.84,240.0,9.0,6.0,0.84,240.0,9.0,6.0,,,0.75
63,42.38034250454764,-71.13265119980616,200,1.23,300.0,9.0,6.0,1.23,300.0,9.0,6.0,,,0.75
64,42.38153268343421,-71.13115637715809,200,1.2,300.0,9.0,6.0,1.2,300.0,9.0,6.0,,,0.75
65,42.382544977961615,-71.12943813803726,200,0.91,300.0,9.0,6.0,0.91,300.0,9.0,6.0,,,0.75
66,42.3833567751429,-71.12753486506635,200,0.86,300.0,9.0,6.0,0.86,300.0,9.0,6.0,,,0.75
67,42.38394994077047,-71.12548907421841,200,0.96,300.0,9.0,6.0,0.96,300.0,9.0,6.0,,,0.75
68,42.3843112245044,-71.12334646508042,200,1.06,360.0,9.0,6.0,1.06,360.0,9.0,6.0,,,0.75
69,42.38443255586306,-71.12115490000002,200,1.08,300.0,9.0,6.0,1.08,300.0,9.0,6.0,,,1.0
70,42.38796250166383,-71.1189597514481,200,1.16,360.0,9.0,6.0,1.16,360.0,9.0,6.0,,,1.0
71,42.38769042849665,-71.1167922081629,200,1.38,420.0,9.0,6.0,1.38,420.0,9.0,7.0,,,1.0
72,42.387240776460466,-71.11467952825885,200,1.58,480.0,10.0,7.0,1.58,480.0,10.0,7.0,,,1.0
73,42.38661920019053,-71.11264827991155,200,1.58,480.0,10.0,6.0,1.58,480.0,10.0,7.0,,,1.0
74,42.3858335163691,-71.1107240072475,200,1.65,480.0,10.0,7.0,1.65,480.0,10.0,7.0,,,1.0
75,42.384893605426065,-71.10893090911196,200,1.81,540.0,9.0,5.0,1.81,540.0,11.0,8.0,,,1.0
76,42.383811287286896,-71.10729153475437,200,1.33,480.0,8.0,5.0,1.33,480.0,9.0,7.0,,,1.0
77,42.382600172730186,-71.10582650025846,200,1.34,420.0,8.0,5.0,1.34,420.0,10.0,7.0,,,1.0
78,42.38127549222418,-71.10455422928305,200,1.33,420.0,8.0,5.0,1.33,420.0,9.0,7.0,,,1.0
79,42.379853904394814,-71.10349072137382,200,1.21,420.0,8.0,5.0,1.21,420.0,9.0,6.0,,,1.0
80,42.37835328653389,-71.10264935075979,200,1.4,420.0,8.0,5.0,1.4,420.0,9.0,7.0,,,1.0
81,42.376792509781694,-71.10204069816467,200,1.31,360.0,8.0,5.0,1.31,360.0,9.0,6.0,,,1.0
82,42.375191201811454,-71.10167241774793,200,1.33,360.0,8.0,5.0,1.33,360.0,9.0,7.0,,,1.0
83,42.3735695,-71.10154914084951,200,1.2,360.0,8.0,5.0,1.2,360.0,9.0,6.0,,,1.0
84,42.37194779818855,-71.10167241774793,200,1.34,360.0,8.0,5.0,1.34,360.0,9.0,7.0,,,1.0
85,42.37034649021831,-71.10204069816467,200,1.31,360.0,8.0,5.0,1.31,360.0,9.0,6.0,,,1.0
86,42.36878571346611,-71.10264935075979,200,1.37,420.0,8.0,5.0,1.37,420.0,9.0,7.0,,,1.0
87,42.36728509560521,-71.10349072137382,200,1.62,420.0,8.0,5.0,1.62,420.0,10.0,7.0,,,1.0
88,42.36586350777585,-71.10455422928305,200,1.22,480.0,8.0,5.0,1.22,480.0,9.0,7.0,,,1.0
89,42.36453882726982,-71.10582650025846,200,1.27,480.0,8.0,5.0,1.27,480.0,10.0,7.0,,,1.0
90,42.3633277127131,-71.10729153475437,200,1.46,540.0,9.0,5.0,1.46,540.0,10.0,7.0,,,1.0
91,42.36224539457394,-71.10893090911196,200,1.91,480.0,9.0,6.0,1.91,480.0,11.0,8.0,,,1.0
92,42.36130548363092,-71.1107240072475,200,2.36,480.0,11.0,8.0,2.36,480.0,12.0,9.0,,,1.0
93,42.36051979980947,-71.11264827991155,200,1.89,420.0,10.0,7.0,1.89,420.0,10.0,8.0,,,1.0
94,42.35989822353954,-71.11467952825885,200,1.81,420.0,9.0,6.0,1.81,420.0,9.0,6.0,,,1.0
95,42.35944857150336,-71.1167922081629,200,5.59,660.0,15.0,10.0,5.59,660.0,15.0,11.0,,,1.0
96,42.359176498336176,-71.1189597514481,200,1.81,480.0,9.0,6.0,1.81,480.0,9.0,6.0,,,1.0
97,42.35908542551593,-71.12115490000002,200,1.91,540.0,10.0,6.0,1.91,540.0,9.0,7.0,,,1.0
98,42.359176498336176,-71.12335004855187,200,2.07,480.0,10.0,6.0,2.07,480.0,9.0,7.0,,,1.0
99,42.35944857150336,-71.12551759183708,200,1.71,480.0,10.0,6.0,1.71,480.0,9.0,6.0,,,1.0
100,42.35989822353954,-71.12763027174114,200,1.59,480.0,9.0,6.0,1.59,480.0,9.0,6.0,,,1.0
101,42.36051979980947,-71.12966152008845,200,1.49,480.0,9.0,6.0,1.49,480.0,9.0,6.0,,,1.0
102,42.36130548363092,-71.13158579275249,200,1.44,480.0,9.0,6.0,1.44,480.0,9.0,6.0,,,1.0
103,42.36224539457394,-71.13337889088804,200,2.23,600.0,11.0,7.0,2.23,600.0,10.0,7.0,,,1.0
104,42.3633277127131,-71.13501826524559,200,1.97,480.0,10.0,6.0,1.97,480.0,9.0,7.0,,,1.0
