Event type,Details,Headline,Date,Lat,Lng
Company,Dara Khosrowshahi is hired as CEO.,Dara Khosrowshahi is hired as CEO,August 2017,-31.15,-150
Company,Ryan Graves steps down as CEO in favor of Travis Kalanick.,Ryan Graves steps down as CEO in favor of Travis Kalanick,December 2010,-41,-150
Company,"Uber opens robotics research facility In Pittsburgh to build self-driving cars. In May, Uber poaches 50 employees from Carnegie Mellon's National Robotics Engineering Center.",Uber announce robotic research facility to build self-driving cars,February 2015,-37.95,-150
Company,Travis Kalanick resigns as CEO,Travis Kalanick resigns as CEO,June 2017,-34.55,-150
Company,Uber founded as UberCab.,Uber founded as UberCab,March 2009,-44,-150
Competition,"Didi Chuxing (formerly Didi Kuaidi), the dominant player in China's ridesharing market, agrees to buy Uber China, Uber's business in China.The Uber brand will be retained, but Didi would “integrate the managerial and technological experience and expertise of the two teams.” Uber reportedly lost $2 billion trying to make inroads in China.",Didi Chuxing agrees to purchase Uber China,August 2016,37.9042,118.4074
Competition,"Uber competitors Lyft (United States), Didi Kuaidi (China), Ola Cabs (India), and GrabTaxi (South-East Asia) (all of which have Softbank as an investor) announce a global technology and service alliance.",Uber competitors announce global alliance,December 2015,-44,-130
Competition,"Didi Dache and Kuaidi Dache, the two biggest players in the low-cost app-based taxi hailing market in China, announce a merger into Didi Kuaidi. The merged company would be significantly larger than Uber in China.",The two biggest ride-sharing companies in China merge,February 2015,37.9042,116.4074
Competition,"Lyft, a competitor to Uber, launches in San Francisco",Lyft launches for the first time in San Francisco,June 2012,37.7749,-124.4194
Expansion,"Uber launches in Buenos Aires, Argentina amidst claims of illegality and taxi protests.",Uber launches in Buenos Aires,April 2016,-34.6037,-58.3816
Expansion,"Uber expands to Africa, launches its first product in Johannesburg, South Africa.","Uber expands to Africa, launching in Johannesburg",August 2013,-26.2041,28.0473
Expansion,"Uber expands to India, launching its first product in Bangalore.","Uber expands to India, launching in Bangalore",August 2013,12.9716,77.5946
Expansion,"Uber expands beyond the United States, starting by expanding into Paris, France.","Uber expands beyond the US, launching in Paris",December 2011,48.8566,2.3522
Expansion,"Uber launches its first product in East Africa, in Nairobi, Kenya.",Uber launches in Nairobi,January 2015,1.2921,36.8219
Expansion,Uber goes live for the first time in San Francisco.,Uber launches for the first time in San Francisco,July 2010,37.7749,-122.4194
Expansion,"Uber launches in London, United Kingdom.",Uber launches in London,July 2012,51.5074,-0.1278
Expansion,"Uber expands to Asia launches in Taiwan, starting in Taipei","Uber expands to Asia, launching in Taipei",July 2013,25.033,121.5654
Expansion,"Uber officially launches in China, starting with Beijing.","Uber expands to China, launching in Beijing",July 2014,35.9042,116.4074
Expansion,"Uber officially launches in Lagos, Nigeria, expanding its presence to Western Africa.",Uber launches in Lagos,July 2014,6.5244,3.3792
Expansion,"Uber launches in Mexico City, Mexico.",Uber launches in Mexico City,June 2013,19.4326,-99.1332
Expansion,"Uber launches in Kiev, Ukraine.",Uber launches in Kiev,June 2016,50.4501,30.5234
Expansion,Uber goes live in New York City.,Uber launches in New York City,May 2011,40.7128,-74.006
Funding,"Uber confirms it has raised $258 million in Series C round at a $3.5 billion pre-money valuation, with investors including Google Ventures and TPG Growth.",Uber raises $258 million at a $3.5 billion valuation,August 2013,-37.95,-145
Funding,"Uber raises $100 million in private equity from the Tata Opportunities Fund, a fund of the Tata Group in India, with the goal of using the money to help it double down on its India operations.",Uber raises money from Tata Group to support India operations,August 2015,-31.15,-140
Funding,"Uber announces it has raised $37 million in Series B round, including investors such as Goldman Sachs, Menlo Ventures (with Shervin Pishevar leading Menlo's investment), and Bezos Expeditions.",Uber raises $37 million,December 2011,-41,-145
